2550	P53609	PGTB1_HUMAN	reviewed	Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Geranylgeranyl transferase type I subunit beta) (GGTase-I-beta) (Type I protein geranyl-geranyltransferase subunit beta)	PGGT1B	Homo sapiens (Human)	377
2551	Q96PY6	NEK1_HUMAN	reviewed	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	NEK1 KIAA1901	Homo sapiens (Human)	1258
2552	Q14191	WRN_HUMAN	reviewed	Werner syndrome ATP-dependent helicase (EC 3.6.4.12) (DNA helicase, RecQ-like type 3) (RecQ3) (Exonuclease WRN) (EC 3.1.-.-) (RecQ protein-like 2)	WRN RECQ3 RECQL2	Homo sapiens (Human)	1432
2553	P9WNV1	DNLJ_MYCTU	reviewed	DNA ligase A (LigA) (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA lig Rv3014c MTV012.28c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	691
2554	Q07652	CAC1E_RAT	reviewed	Voltage-dependent R-type calcium channel subunit alpha-1E (BII) (Brain calcium channel II) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (RBE-II) (RBE2) (Voltage-gated calcium channel subunit alpha Cav2.3)	Cacna1e Cach6 Cacnl1a6	Rattus norvegicus (Rat)	2222
2555	Q02880	TOP2B_HUMAN	reviewed	DNA topoisomerase 2-beta (EC 5.99.1.3) (DNA topoisomerase II, beta isozyme)	TOP2B	Homo sapiens (Human)	1626
2556	P18841	ADA1B_MESAU	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	ADRA1B	Mesocricetus auratus (Golden hamster)	515
2557	O95544	NADK_HUMAN	reviewed	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	Homo sapiens (Human)	446
2558	O54754	AOXA_MOUSE	reviewed	Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Retinal oxidase)	Aox1 Ao Ro	Mus musculus (Mouse)	1333
2559	Q5FB27	AOXA_MACFA	reviewed	Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-)	AOX1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	1338
2560	Q9Z0U5	AOXA_RAT	reviewed	Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-)	Aox1 Ao	Rattus norvegicus (Rat)	1333
2561	Q9ULC6	PADI1_HUMAN	reviewed	Protein-arginine deiminase type-1 (EC 3.5.3.15) (Peptidylarginine deiminase I) (Protein-arginine deiminase type I)	PADI1 PAD1 PDI1	Homo sapiens (Human)	663
2562	Q9ULW8	PADI3_HUMAN	reviewed	Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III)	PADI3 PAD3 PDI3	Homo sapiens (Human)	664
2563	Q9Y2J8	PADI2_HUMAN	reviewed	Protein-arginine deiminase type-2 (EC 3.5.3.15) (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II)	PADI2 KIAA0994 PAD2 PDI2	Homo sapiens (Human)	665
2564	P43404	ZAP70_MOUSE	reviewed	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	Zap70 Srk Zap-70	Mus musculus (Mouse)	618
2565	Q12882	DPYD_HUMAN	reviewed	Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	DPYD	Homo sapiens (Human)	1025
2566	P10611	CP4A4_RABIT	reviewed	Cytochrome P450 4A4 (EC 1.14.14.1) (CYPIVA4) (Cytochrome P450-P-2) (Prostaglandin omega-hydroxylase)	CYP4A4	Oryctolagus cuniculus (Rabbit)	510
2567	O75419	CDC45_HUMAN	reviewed	Cell division control protein 45 homolog (PORC-PI-1)	CDC45 CDC45L CDC45L2 UNQ374/PRO710	Homo sapiens (Human)	566
2568	P70597	PE2R1_RAT	reviewed	Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor)	Ptger1	Rattus norvegicus (Rat)	405
2569	P09242	PPBT_MOUSE	reviewed	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase 2) (Alkaline phosphatase liver/bone/kidney isozyme)	Alpl Akp-2 Akp2	Mus musculus (Mouse)	524
2570	P61431	MURB_STAAU	reviewed	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB	Staphylococcus aureus	307
2571	Q9QUR6	PPCE_MOUSE	reviewed	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	Prep Pep	Mus musculus (Mouse)	710
2572	Q9XTA2	PPCE_BOVIN	reviewed	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	PREP	Bos taurus (Bovine)	710
2573	P70385	DHB3_MOUSE	reviewed	Testosterone 17-beta-dehydrogenase 3 (EC 1.1.1.64) (17-beta-hydroxysteroid dehydrogenase type 3) (17-beta-HSD 3) (Testicular 17-beta-hydroxysteroid dehydrogenase)	Hsd17b3 Edh17b3	Mus musculus (Mouse)	305
2574	Q99707	METH_HUMAN	reviewed	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Vitamin-B12 dependent methionine synthase) (MS)	MTR	Homo sapiens (Human)	1265
2575	Q8NET8	TRPV3_HUMAN	reviewed	Transient receptor potential cation channel subfamily V member 3 (TrpV3) (Vanilloid receptor-like 3) (VRL-3)	TRPV3	Homo sapiens (Human)	790
2576	P40337	VHL_HUMAN	reviewed	Von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)	VHL	Homo sapiens (Human)	213
2577	Q9C5U0	AHK4_ARATH	reviewed	Histidine kinase 4 (EC 2.7.13.3) (Arabidopsis histidine kinase 4) (AtHK4) (Cytokinin receptor CYTOKININ RESPONSE 1) (AtCRE1) (Cytokinin receptor CRE1) (Phosphoprotein phosphatase AHK4) (EC 3.1.3.16) (Protein AUTHENTIC HIS-KINASE 4) (Protein ROOT AS IN WOL 1) (Protein WOODEN LEG)	AHK4 CRE1 RAW1 WOL At2g01830 T23K3.2	Arabidopsis thaliana (Mouse-ear cress)	1080
2578	Q38860	KCS18_ARATH	reviewed	3-ketoacyl-CoA synthase 18 (KCS-18) (EC 2.3.1.199) (Protein FATTY ACID ELONGATION 1) (Very long-chain fatty acid condensing enzyme 18) (VLCFA condensing enzyme 18)	FAE1 KCS18 At4g34520 T4L20.100	Arabidopsis thaliana (Mouse-ear cress)	506
2579	Q9FG87	KCS19_ARATH	reviewed	3-ketoacyl-CoA synthase 19 (KCS-19) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 19) (VLCFA condensing enzyme 19)	KCS19 At5g43760 MQD19.11	Arabidopsis thaliana (Mouse-ear cress)	529
2580	P28329	CLAT_HUMAN	reviewed	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	CHAT	Homo sapiens (Human)	748
2581	Q9Y6F1	PARP3_HUMAN	reviewed	Poly [ADP-ribose] polymerase 3 (PARP-3) (hPARP-3) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3)	PARP3 ADPRT3 ADPRTL3	Homo sapiens (Human)	533
2582	P0A3M5	PBP2_STRPN	reviewed	Penicillin-binding protein 2B	penA pbp2b SP_1673	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	680
2583	Q04707	PBPA_STRPN	reviewed	Penicillin-binding protein 1A (PBP-1A)	ponA SP_0369	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	719
2584	Q06518	NOS2_RAT	reviewed	Nitric oxide synthase, inducible (EC 1.14.13.39) (Inducible NO synthase) (Inducible NOS) (iNOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)	Nos2	Rattus norvegicus (Rat)	1147
2585	P0A070	LEP_STAAU	reviewed	Signal peptidase IB (SPase IB) (EC 3.4.21.89) (Leader peptidase IB)	spsB	Staphylococcus aureus	191
2586	O70126	AURKB_MOUSE	reviewed	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5	Mus musculus (Mouse)	345
2587	P97477	AURKA_MOUSE	reviewed	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora family kinase 1) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A)	Aurka Aik Airk Ark1 Aura Ayk1 Btak Iak1 Stk15 Stk6	Mus musculus (Mouse)	395
2588	P15328	FOLR1_HUMAN	reviewed	Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)	FOLR1 FOLR	Homo sapiens (Human)	257
2589	Q9ET01	PYGL_MOUSE	reviewed	Glycogen phosphorylase, liver form (EC 2.4.1.1)	Pygl	Mus musculus (Mouse)	850
2590	P11137	MTAP2_HUMAN	reviewed	Microtubule-associated protein 2 (MAP-2)	MAP2	Homo sapiens (Human)	1827
2591	O89084	PDE4A_MOUSE	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53)	Pde4a	Mus musculus (Mouse)	844
2592	Q01063	PDE4D_MOUSE	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3)	Pde4d	Mus musculus (Mouse)	747
2593	Q3UEI1	PDE4C_MOUSE	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4C (EC 3.1.4.53)	Pde4c	Mus musculus (Mouse)	686
2594	P00515	KAP2_BOVIN	reviewed	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A	Bos taurus (Bovine)	401
2595	P05132	KAPCA_MOUSE	reviewed	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	Prkaca Pkaca	Mus musculus (Mouse)	351
2596	P11275	KCC2A_RAT	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	Camk2a	Rattus norvegicus (Rat)	478
2597	P11440	CDK1_MOUSE	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Cdk1 Cdc2 Cdc2a Cdkn1	Mus musculus (Mouse)	297
2598	P11798	KCC2A_MOUSE	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	Camk2a	Mus musculus (Mouse)	478
2599	P28652	KCC2B_MOUSE	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	Camk2b Camk2d	Mus musculus (Mouse)	542
2600	P35917	VGFR3_MOUSE	reviewed	Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)	Flt4 Flt-4 Vegfr3	Mus musculus (Mouse)	1363
2601	P46019	KPB2_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit alpha, liver isoform (Phosphorylase kinase alpha L subunit)	PHKA2 PHKLA PYK	Homo sapiens (Human)	1235
2602	P46020	KPB1_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform (Phosphorylase kinase alpha M subunit)	PHKA1 PHKA	Homo sapiens (Human)	1223
2603	P46734	MP2K3_HUMAN	reviewed	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	MAP2K3 MEK3 MKK3 PRKMK3 SKK2	Homo sapiens (Human)	347
2604	P51817	PRKX_HUMAN	reviewed	cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)	PRKX PKX1	Homo sapiens (Human)	358
2605	P68181	KAPCB_MOUSE	reviewed	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	Prkacb Pkacb	Mus musculus (Mouse)	351
2606	Q13237	KGP2_HUMAN	reviewed	cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)	PRKG2 PRKGR2	Homo sapiens (Human)	762
2607	Q15750	TAB1_HUMAN	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 1) (TGF-beta-activated kinase 1-binding protein 1) (TAK1-binding protein 1)	TAB1 MAP3K7IP1	Homo sapiens (Human)	504
2608	Q86UX6	ST32C_HUMAN	reviewed	Serine/threonine-protein kinase 32C (EC 2.7.11.1) (PKE) (Yet another novel kinase 3)	STK32C YANK3	Homo sapiens (Human)	486
2609	Q8BK63	KC1A_MOUSE	reviewed	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	Csnk1a1	Mus musculus (Mouse)	337
2610	Q8BTH8	KC1G1_MOUSE	reviewed	Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	Csnk1g1	Mus musculus (Mouse)	459
2611	Q8N4C8	MINK1_HUMAN	reviewed	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3	Homo sapiens (Human)	1332
2612	Q8NEV4	MYO3A_HUMAN	reviewed	Myosin-IIIa (EC 2.7.11.1)	MYO3A	Homo sapiens (Human)	1616
2613	Q8TD19	NEK9_HUMAN	reviewed	Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)	NEK9 KIAA1995 NEK8 NERCC	Homo sapiens (Human)	979
2614	Q8WXR4	MYO3B_HUMAN	reviewed	Myosin-IIIb (EC 2.7.11.1)	MYO3B	Homo sapiens (Human)	1341
2615	Q923T9	KCC2G_MOUSE	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)	Camk2g	Mus musculus (Mouse)	529
2616	Q93100	KPBB_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	PHKB	Homo sapiens (Human)	1093
2617	Q9BXA7	TSSK1_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	Homo sapiens (Human)	367
2618	Q9DC28	KC1D_MOUSE	reviewed	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	Csnk1d Hckid	Mus musculus (Mouse)	415
2619	Q9JMK2	KC1E_MOUSE	reviewed	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	Csnk1e	Mus musculus (Mouse)	416
2620	Q9NQU5	PAK6_HUMAN	reviewed	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	PAK6 PAK5	Homo sapiens (Human)	681
2621	O60706	ABCC9_HUMAN	reviewed	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	ABCC9 SUR2	Homo sapiens (Human)	1549
2622	P97584	PTGR1_RAT	reviewed	Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (EC 1.3.1.74)	Ptgr1 Dig1 Ltb4dh	Rattus norvegicus (Rat)	329
2623	P32244	MC3R_RAT	reviewed	Melanocortin receptor 3 (MC3-R)	Mc3r	Rattus norvegicus (Rat)	323
2624	P35345	MC5R_RAT	reviewed	Melanocortin receptor 5 (MC5-R)	Mc5r	Rattus norvegicus (Rat)	325
2625	P14618	KPYM_HUMAN	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	531
2626	P50107	LGUL_YEAST	reviewed	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	GLO1 YML004C YM9571.15C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	326
2627	P28720	TGT_ZYMMO	reviewed	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt ZMO0363	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	386
2628	P05107	ITB2_HUMAN	reviewed	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	ITGB2 CD18 MFI7	Homo sapiens (Human)	769
2629	P09482	ACHA4_CHICK	reviewed	Neuronal acetylcholine receptor subunit alpha-4	CHRNA4	Gallus gallus (Chicken)	622
2630	O35435	PYRD_MOUSE	reviewed	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	Dhodh	Mus musculus (Mouse)	395
2631	Q9C0B1	FTO_HUMAN	reviewed	Alpha-ketoglutarate-dependent dioxygenase FTO (EC 1.14.11.-) (Fat mass and obesity-associated protein)	FTO KIAA1752	Homo sapiens (Human)	505
2632	P29853	BGAL_ASPNG	reviewed	Beta-galactosidase (EC 3.2.1.23) (Lactase-N) (Lactase) (Tilactase)	lacA	Aspergillus niger	1006
2633	P61823	RNAS1_BOVIN	reviewed	Ribonuclease pancreatic (EC 3.1.27.5) (RNase 1) (RNase A)	RNASE1 RNS1	Bos taurus (Bovine)	150
2634	O14732	IMPA2_HUMAN	reviewed	Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)	IMPA2 IMP.18P	Homo sapiens (Human)	288
2635	P29218	IMPA1_HUMAN	reviewed	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)	IMPA1 IMPA	Homo sapiens (Human)	277
2636	P23945	FSHR_HUMAN	reviewed	Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	FSHR LGR1	Homo sapiens (Human)	695
2637	Q5EGZ1	ACE2_RAT	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) [Cleaved into: Processed angiotensin-converting enzyme 2]	Ace2	Rattus norvegicus (Rat)	805
2638	P15309	PPAP_HUMAN	reviewed	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACPP	Homo sapiens (Human)	386
2639	P28843	DPP4_MOUSE	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (Thymocyte-activating molecule) (THAM) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	Dpp4 Cd26	Mus musculus (Mouse)	760
2640	P80370	DLK1_HUMAN	reviewed	Protein delta homolog 1 (DLK-1) (pG2) [Cleaved into: Fetal antigen 1 (FA1)]	DLK1 DLK	Homo sapiens (Human)	383
2641	O95069	KCNK2_HUMAN	reviewed	Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK-1) (Two pore potassium channel TPKC1)	KCNK2 TREK TREK1	Homo sapiens (Human)	426
2642	P15692	VEGFA_HUMAN	reviewed	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	VEGFA VEGF	Homo sapiens (Human)	232
2643	Q60612	AA1R_MOUSE	reviewed	Adenosine receptor A1	Adora1	Mus musculus (Mouse)	326
2644	Q60613	AA2AR_MOUSE	reviewed	Adenosine receptor A2a	Adora2a	Mus musculus (Mouse)	410
2645	Q61618	AA3R_MOUSE	reviewed	Adenosine receptor A3 (A3AR)	Adora3 Gpcr2	Mus musculus (Mouse)	319
2646	Q91ZY2	HRH4_MOUSE	reviewed	Histamine H4 receptor (H4R) (HH4R)	Hrh4	Mus musculus (Mouse)	391
2647	P15382	KCNE1_HUMAN	reviewed	Potassium voltage-gated channel subfamily E member 1 (Delayed rectifier potassium channel subunit IsK) (IKs producing slow voltage-gated potassium channel subunit beta Mink) (Minimal potassium channel)	KCNE1	Homo sapiens (Human)	129
2648	P51787	KCNQ1_HUMAN	reviewed	Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)	KCNQ1 KCNA8 KCNA9 KVLQT1	Homo sapiens (Human)	676
2649	P68366	TBA4A_HUMAN	reviewed	Tubulin alpha-4A chain (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Homo sapiens (Human)	448
2650	P07812	PRGR_CHICK	reviewed	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Gallus gallus (Chicken)	786
2651	P00743	FA10_BOVIN	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	Bos taurus (Bovine)	492
2652	P18654	KS6A3_MOUSE	reviewed	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	Rps6ka3 Mapkapk1b Rps6ka-rs1 Rsk2	Mus musculus (Mouse)	740
2653	Q8VH37	HDAC8_MOUSE	reviewed	Histone deacetylase 8 (HD8) (EC 3.5.1.98)	Hdac8	Mus musculus (Mouse)	377
2654	Q9Z2V6	HDAC5_MOUSE	reviewed	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Histone deacetylase mHDA1)	Hdac5	Mus musculus (Mouse)	1113
2655	P09488	GSTM1_HUMAN	reviewed	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4)	GSTM1 GST1	Homo sapiens (Human)	218
2656	P37238	PPARG_MOUSE	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	Pparg Nr1c3	Mus musculus (Mouse)	505
2657	Q9BDQ5	BKRB1_CANFA	reviewed	B1 bradykinin receptor (B1R) (BK-1 receptor)	BDKRB1	Canis familiaris (Dog) (Canis lupus familiaris)	350
2658	P00346	MDHM_PIG	reviewed	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2	Sus scrofa (Pig)	338
2659	O54898	CAC1G_RAT	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1)	Cacna1g	Rattus norvegicus (Rat)	2254
2660	P54282	CAC1A_RAT	reviewed	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide, isoform 4) (Rat brain class A) (RBA-I) (Voltage-gated calcium channel subunit alpha Cav2.1)	Cacna1a Cach4 Cacn3 Cacnl1a4	Rattus norvegicus (Rat)	2212
2661	Q9EQ60	CAC1H_RAT	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Voltage-gated calcium channel subunit alpha Cav3.2)	Cacna1h	Rattus norvegicus (Rat)	2359
2662	Q9Z0Y8	CAC1I_RAT	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1I (CaVT.3) (Voltage-gated calcium channel subunit alpha Cav3.3)	Cacna1i	Rattus norvegicus (Rat)	2201
2663	P00789	CANX_CHICK	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase) (CANP) (Calpain-1 large subunit) (Mu/M-type)		Gallus gallus (Chicken)	705
2664	Q92178	CAN2_CHICK	reviewed	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2	Gallus gallus (Chicken)	700
2665	P53790	SC5A1_RAT	reviewed	Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1)	Slc5a1 Sglt1	Rattus norvegicus (Rat)	665
2666	O43525	KCNQ3_HUMAN	reviewed	Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3)	KCNQ3	Homo sapiens (Human)	872
