Index	TID	Accession	Synonym	Description
1835	103644	Q9BZP6	CHIA	Acidic mammalian chitinase
1836	103645	O02768	COX-2 	Prostaglandin G/H synthase 2
1837	12411	O08914	Faah1	Fatty-acid amide hydrolase 1
1838	102564	P00376	DHFR	Dihydrofolate reductase
1839	12413	P35969	Emrk2 	Vascular endothelial growth factor receptor 1
1840	12412	P16092	Flg	Fibroblast growth factor receptor 1
1841	12415	Q9UQM7	CAMKA 	Calcium/calmodulin-dependent protein kinase type II subunit alpha
1842	100442	Q6R5A3	Trpv1	Transient receptor potential cation channel subfamily V member 1
1843	12652	Q9UNK4	SPLASH	Group IID secretory phospholipase A2
1844	102567	P11064	ACP1	Low molecular weight phosphotyrosine protein phosphatase
1845	101156	A5HZZ9	None	Botulinum neurotoxin type A
1846	103868	Q0VTR8	adc-16	Beta-lactamase
1847	108290	Q6PFX9	Tnks1	Tankyrase-1
1848	103860	P70699	Gaa	Lysosomal alpha-glucosidase
1849	103861	Q70YI1	mip	Outer membrane protein MIP
1850	103867	Q0VTR6	adc-14	Beta-lactamase
1851	101623	P05182	Cyp2e 	Cytochrome P450 2E1
1852	104063	O15244	OCT2	Solute carrier family 22 member 2
1853	101620	P04786	MAK1	DNA topoisomerase 1
1854	19704	Q25270	beta-tubulin	Beta-tubulin
1855	100205	P50997	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
1856	100202	P08004	CHS1	Chitin synthase 1
1857	12523	P98077	SCK 	SHC-transforming protein 2
1858	100200	P10236	DNA primase	DNA primase
1859	11263	P30936	Sstr3	Somatostatin receptor type 3
1860	11262	P30935	Smstr3	Somatostatin receptor type 3
1861	11261	P32745	SSTR3	Somatostatin receptor type 3
1862	11267	P08842	ARSC1	Steryl-sulfatase
1863	12528	P54001	P4ha	Prolyl 4-hydroxylase subunit alpha-1
1864	11265	P35346	SSTR5	Somatostatin receptor type 5
1865	108390	P70619	Gsr	Glutathione reductase
1866	104062	Q9NPD5	LST2 	Solute carrier organic anion transporter family member 1B3
1867	104326	Q06210	GFAT 	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1
1868	7	P0ABQ4	tmrA	Dihydrofolate reductase
1869	10836	O60259	NRPN 	Kallikrein-8
1870	100874	Q09472	P300	Histone acetyltransferase p300
1871	104103	Q99814	BHLHE73 	Endothelial PAS domain-containing protein 1
1872	100659	P04233	DHLAG	HLA class II histocompatibility antigen gamma chain
1873	12060	Q9P2J5	KIAA1352	Leucine--tRNA ligase, cytoplasmic
1874	100876	Q92830	GCN5 	Histone acetyltransferase KAT2A
1875	12067	P55210	MCH3	Caspase-7
1876	100063	Q95PM0	rhodesain	Cysteine protease
1877	100305	P33316	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial
1878	12666	P31749	PKB 	RAC-alpha serine/threonine-protein kinase
1879	100069	P07332	FPS	Tyrosine-protein kinase Fes/Fps
1880	12665	Q04759	PRKCT	Protein kinase C theta type
1881	100871	Q8BZP8	Gpr154 	Neuropeptide S receptor
1882	104368	Q8WTV0	CD36L1 	Scavenger receptor class B member 1
1883	100664	P00489	PYGM	Glycogen phosphorylase, muscle form
1884	19650	Q95J97	PKA catalytic subunit alpha	PKA catalytic subunit alpha
1885	11989	Q13443	KIAA0021 	Disintegrin and metalloproteinase domain-containing protein 9
1886	10808	Q92633	EDG2 	Lysophosphatidic acid receptor 1
1887	19657	Q53729	PBP2	Penicillin binding protein 2
1888	19654	O02853	PTGDS	Prostaglandin-H2 D-isomerase
1889	100846	Q02858	Hyk 	Angiopoietin-1 receptor
1890	10804	P04439	HLAA	HLA class I histocompatibility antigen, A-3 alpha chain
1891	10805	P08138	TNFRSF16	Tumor necrosis factor receptor superfamily member 16
1892	10806	P19438	TNFAR 	Tumor necrosis factor receptor superfamily member 1A
1893	11286	P21451	Ednrb	Endothelin B receptor
1894	100669	Q75NA5	Rdl	Gamma-aminobutyric acid receptor subunit beta
1895	100668	O77773	CACNA2D1	Voltage-dependent calcium channel alpha-2 delta subunit
1896	101246	P16152	CBR 	Carbonyl reductase [NADPH] 1
1897	10108	O95749	GGPS1	Geranylgeranyl pyrophosphate synthase
1898	104540	Q06806	Tie 	Tyrosine-protein kinase receptor Tie-1
1899	104541	P43404	Srk 	Tyrosine-protein kinase ZAP-70
1900	104542	Q78DX7	Ros 	Proto-oncogene tyrosine-protein kinase ROS
1901	104543	P57771	RGS8	Regulator of G-protein signaling 8
1902	104544	P59538	TAS2R44	Taste receptor type 2 member 31
1903	104545	Q5KTC7	Asahl	N-acylethanolamine-hydrolyzing acid amidase
1904	104547	Q06609	RAD51A 	DNA repair protein RAD51 homolog 1
1905	194	P00742	F10	Coagulation factor X
1906	197	P09619	PDGFR 	Platelet-derived growth factor receptor beta
1907	196	P06729	SRBC	T-cell surface antigen CD2
1908	191	Q72874	pol	Pol polyprotein
1909	190	P20701	CD11A	Integrin alpha-L
1910	193	P00740	F9	Coagulation factor IX
1911	103746	Q8IL11	None	M17 leucyl aminopeptidase
1912	104106	P43490	PBEF 	Nicotinamide phosphoribosyltransferase
1913	108150	P04085	PDGF1	Platelet-derived growth factor subunit A
1914	104144	Q20MD5	M2	Matrix protein 2
1915	101425	P26663	Genome polyprotein	Genome polyprotein
1916	104146	O43683	BUB1L	Mitotic checkpoint serine/threonine-protein kinase BUB1
1917	101420	O89049	Trxr1	Thioredoxin reductase 1, cytoplasmic
1918	101421	O94760	DDAH	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
1919	104143	P9WMC1	etaR	HTH-type transcriptional regulator EthR
1920	11685	Q99895	CLCR	Chymotrypsin-C
1921	11684	Q9Y2I1	IRAS 	Nischarin
1922	101428	P27028	f1pep1	Prolyl endopeptidase
1923	11680	P30560	Avpr1a	Vasopressin V1a receptor
1924	14070	P24433	0R 	Capsid scaffolding protein
1925	11443	Q99523	SORT1	Sortilin
1926	11442	P06737	PYGL	Glycogen phosphorylase, liver form
1927	11441	P23467	PTPB	Receptor-type tyrosine-protein phosphatase beta
1928	11440	P31644	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5
1929	11447	Q00796	SORD	Sorbitol dehydrogenase
1930	14073	P10210	UL26	Capsid scaffolding protein
1931	12793	P28705	Nr2b3	Retinoic acid receptor RXR-gamma
1932	12790	P28088	EDNRB	Endothelin B receptor
1933	12791	P30938	Sstr5	Somatostatin receptor type 5
1934	12795	P23526	SAHH	Adenosylhomocysteinase
1935	10332	P30304	CDC25A	M-phase inducer phosphatase 1
1936	104445	P28065	LMP2 	Proteasome subunit beta type-9
1937	10330	Q13085	ACAC 	Acetyl-CoA carboxylase 1
1938	10331	P42785	PCP	Lysosomal Pro-X carboxypeptidase
1939	101410	Q9BYT3	STK33	Serine/threonine-protein kinase 33
1940	17131	Q8BVW0	Ganc	Neutral alpha-glucosidase C
1941	17130	Q8AWE3	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B
1942	101219	Q8N474	FRP 	Secreted frizzled-related protein 1
1943	12240	Q63704	Cpt1b	Carnitine O-palmitoyltransferase 1, muscle isoform
1944	12243	P09470	Dcp1	Angiotensin-converting enzyme
1945	12244	O08537	Estrb 	Estrogen receptor beta
1946	103508	Q9NPH5	RENOX	NADPH oxidase 4
1947	12247	Q05655	PRKCD	Protein kinase C delta type
1948	102837	Q80W54	Face1	CAAX prenyl protease 1 homolog
1949	102835	Q9Z2A7	Dgat	Diacylglycerol O-acyltransferase 1
1950	102832	O35492	Clk3	Dual specificity protein kinase CLK3
1951	102833	O35493	Clk4	Dual specificity protein kinase CLK4
1952	102830	P22518	Clk 	Dual specificity protein kinase CLK1
1953	102831	O35491	Clk2	Dual specificity protein kinase CLK2
1954	101330	O52691	scaIR	Type-2 restriction enzyme ScaI
1955	101332	O60285	ARK5 	NUAK family SNF1-like kinase 1
1956	101333	P19525	PKR 	Interferon-induced, double-stranded RNA-activated protein kinase
1957	12082	P17105	Itpka	Inositol-trisphosphate 3-kinase A
1958	12083	P48450	Osc	Lanosterol synthase
1959	12081	Q01984	Hnmt	Histamine N-methyltransferase
1960	103772	Q13951	CBFB	Core-binding factor subunit beta
1961	12088	P08575	CD45	Receptor-type tyrosine-protein phosphatase C
1962	100959	Q5XX84	HSD11B1	11-beta-hydroxysteroid dehydrogenase type 1
1963	14037	P61169	Drd2	D(2) dopamine receptor
1964	102748	Q9Y263	PLAP	Phospholipase A-2-activating protein
1965	105435	Q571F8	Kiaa4146	Glutaminase liver isoform, mitochondrial
1966	100958	Q5TKS0	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2
1967	103649	P09598	plc	Phospholipase C
1968	17045	P08684	CYP3A3	Cytochrome P450 3A4
1969	101328	O43868	CNT2	Sodium/nucleoside cotransporter 2
1970	17047	P05979	COX1	Prostaglandin G/H synthase 1
1971	17041	P02753	RBP4	Retinol-binding protein 4
1972	10028	P05412	JUN	Transcription factor AP-1
1973	10029	P04114	APOB	Apolipoprotein B-100
1974	10026	P35351	Agtr2	Type-2 angiotensin II receptor
1975	10027	P00811	ampA	Beta-lactamase
1976	10796	P35353	Crhr	Corticotropin-releasing factor receptor 1
1977	20130	P98170	API3 	E3 ubiquitin-protein ligase XIAP
1978	17049	P06186	NR3C3	Progesterone receptor
1979	10791	P07650	tpp 	Thymidine phosphorylase
1980	10020	Q15172	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
1981	20134	Q09128	Cyp24	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial
1982	105464	Q8NFV4	WBSCR21	Protein ABHD11
1983	100104	Q13418	ILK1 	Integrin-linked protein kinase
1984	102780	P37840	NACP 	Alpha-synuclein
1985	102783	Q9H2K2	PARP5B 	Tankyrase-2
1986	100952	Q13489	API2 	Baculoviral IAP repeat-containing protein 3
1987	105235	Q8MMZ4	cGMP-dependent protein kinase	cGMP-dependent protein kinase
1988	105234	O96526	CRK3	Cdc2-related kinase
1989	105237	Q25856	PFG6PD	Glucose-6-phosphate dehydrogenase
1990	105236	Q8IBS5	CDPK4	Calcium-dependent protein kinase 4
1991	105231	P45975	KMT1	Histone-lysine N-methyltransferase Su(var)3-9
1992	105546	Q96242	AOS	Allene oxide synthase, chloroplastic
1993	105233	Q8ILW6	Glycylpeptide N-tetradecanoyltransferase	Glycylpeptide N-tetradecanoyltransferase
1994	6	P00374	DHFR	Dihydrofolate reductase
1995	105217	Q6ZMT4	JHDM1D 	Lysine-specific demethylase 7A
1996	100990	Q13546	RIP 	Receptor-interacting serine/threonine-protein kinase 1
1997	109482	P67827	CSNK1A1	Casein kinase I isoform alpha
1998	20007	Q9NYL2	MLTK	Mitogen-activated protein kinase kinase kinase MLT
1999	20006	O70423	Vap1	Membrane primary amine oxidase
2000	20004	Q4FZV0	Manba	Beta-mannosidase
2001	20003	Q9BDQ5	BDKRB1	B1 bradykinin receptor
2002	20001	O93874	17HSDcl	17beta-hydroxysteroid dehydrogenase
2003	104157	P11021	GRP78	78 kDa glucose-regulated protein
2004	10247	P08164	outB	NH(3)-dependent NAD(+) synthetase
2005	10244	Q14790	MCH5	Caspase-8
2006	20008	Q9NRW4	JSP1 	Dual specificity protein phosphatase 22
2007	11854	Q8WWR8	NEU4	Sialidase-4
2008	101325	O43521	BIM	Bcl-2-like protein 11
2009	11863	Q64264	Gpcr18	5-hydroxytryptamine receptor 1A
2010	11862	P50172	Hsd11	Corticosteroid 11-beta-dehydrogenase isozyme 1
2011	11866	P24527	Lta4h	Leukotriene A-4 hydrolase
2012	11869	Q01726	MSHR	Melanocyte-stimulating hormone receptor
2013	12543	P07943	Akr1b4 	Aldose reductase
2014	101439	P60953	CDC42	Cell division control protein 42 homolog
2015	102658	P56937	SDR37C1	3-keto-steroid reductase
2016	108434	Q8IDJ8	Lysine--tRNA ligase	Lysine--tRNA ligase
2017	108052	P08191	None	Protein FimH
2018	104158	Q02440	MYO5A	Unconventional myosin-Va
2019	109929	P46093	GPR19	G-protein coupled receptor 4
2020	108431	O77239	PK6	Cdk-related protein kinase 6
2021	108432	Q25917	map-2	Mitogen-activated protein kinase
2022	108433	Q8I5R7	proRS	Proline--tRNA ligase
2023	109927	P59722	Egln1	Egl nine homolog 1
2024	109607	O60825	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2
2025	10885	O94806	EPK2 	Serine/threonine-protein kinase D3
2026	101028	Q15465	SHH	Sonic hedgehog protein
2027	100004	Q29495	SNAT	Serotonin N-acetyltransferase
2028	11597	P58295	Glyt2	Sodium- and chloride-dependent glycine transporter 2
2029	11458	P43346	Dck	Deoxycytidine kinase
2030	109501	P30313	pol	DNA polymerase I, thermostable
2031	100825	P46549	sulu	Serine/threonine-protein kinase SULU
2032	30028	Q8IU85	CAMKID	Calcium/calmodulin-dependent protein kinase type 1D
2033	30029	Q8N5S9	CAMKKA	Calcium/calmodulin-dependent protein kinase kinase 1
2034	30024	Q13043	KRS2 	Serine/threonine-protein kinase 4
2035	12887	P54833	ADRB2	Beta-2 adrenergic receptor
2036	30026	Q13882	BRK	Protein-tyrosine kinase 6
2037	30027	Q15375	EHK3 	Ephrin type-A receptor 7
2038	30020	P54762	ELK 	Ephrin type-B receptor 1
2039	12883	Q13526	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
2040	30023	Q07912	ACK1	Activated CDC42 kinase 1
2041	11047	P45985	JNKK1 	Dual specificity mitogen-activated protein kinase kinase 4
2042	11046	P36507	MEK2 	Dual specificity mitogen-activated protein kinase kinase 2
2043	11045	P30306	Cdc25m2	M-phase inducer phosphatase 2
2044	18025	P00763	Try2	Anionic trypsin-2
2045	11043	P51511	MMP15	Matrix metalloproteinase-15
2046	11042	P35218	CA5	Carbonic anhydrase 5A, mitochondrial
2047	104013	Q9HC16	APOBEC3G	DNA dC->dU-editing enzyme APOBEC-3G
2048	104010	Q9C000	CARD7 	NACHT, LRR and PYD domains-containing protein 1
2049	11049	Q05030	Pdgfr 	Platelet-derived growth factor receptor beta
2050	101531	P29754	Agtr1	Type-1A angiotensin II receptor
2051	10909	P17538	CTRB	Chymotrypsinogen B
2052	103630	Q9Y5S8	MOX1 	NADPH oxidase 1
2053	11451	P08581	MET	Hepatocyte growth factor receptor
2054	100456	Q965D5	fabI	Enoyl-acyl-carrier protein reductase
2055	101026	Q15046	KIAA0070	Lysine--tRNA ligase
2056	101320	O35240	Accn3 	Acid-sensing ion channel 3
2057	100107	P00521	ABL	Tyrosine-protein kinase transforming protein Abl
2058	100452	Q9NBA7	Cysteine protease falcipain-3	Cysteine protease falcipain-3
2059	103784	Q9H1D0	ECAC2	Transient receptor potential cation channel subfamily V member 6
2060	101060	Q9Z0J5	Trxr2	Thioredoxin reductase 2, mitochondrial
2061	100101	Q9P0X4	KIAA1120	Voltage-dependent T-type calcium channel subunit alpha-1I
2062	11308	P14550	ALDR1 	Alcohol dehydrogenase [NADP(+)]
2063	104314	O60331	KIAA0589	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma
2064	11300	Q9QYN8	Hrh3	Histamine H3 receptor
2065	103638	P11308	ERG	Transcriptional regulator ERG
2066	11307	Q9UBN7	KIAA0901	Histone deacetylase 6
2067	24	P04035	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
2068	25	P04150	GRL	Glucocorticoid receptor
2069	12409	P00375	Dhfr	Dihydrofolate reductase
2070	103655	Q9Y239	CARD4	Nucleotide-binding oligomerization domain-containing protein 1
2071	21	P03468	NA	Neuraminidase
2072	103657	P10636	MAPTL 	Microtubule-associated protein tau
2073	23	P03952	KLK3	Plasma kallikrein
2074	103659	B2RXH2	KDM4DL	Lysine-specific demethylase 4E
2075	28	P04818	TS	Thymidylate synthase
2076	29	P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
2077	100476	Q92843	BCLW 	Bcl-2-like protein 2
2078	12405	P51678	Cmkbr1l2 	Probable C-C chemokine receptor type 3
2079	103491	P25942	TNFRSF5	Tumor necrosis factor receptor superfamily member 5
2080	104322	Q690N0	PGR	Progesterone receptor
2081	103499	P79394	CXCR4	C-X-C chemokine receptor type 4
2082	103498	P70658	Cmkar4 	C-X-C chemokine receptor type 4
2083	103878	C4LRQ6	NA	Neuraminidase
2084	10304	P18901	Drd1a	D(1A) dopamine receptor
2085	20042	P00469	thyA	Thymidylate synthase
2086	103870	Q2XPY6	blaCTX-M-53	Beta-lactamase
2087	103873	Q9R744	pbp2	PBP2
2088	103875	Q6Q793	NA	Neuraminidase
2089	100594	Q13822	ATX 	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
2090	103877	Q2LFS1	NA	Neuraminidase
2091	103876	A5Z252	NA	Neuraminidase
2092	11275	P40925	MDHA	Malate dehydrogenase, cytoplasmic
2093	100781	O14786	NRP 	Neuropilin-1
2094	100787	Q93088	BHMT	Betaine--homocysteine S-methyltransferase 1
2095	11272	Q99720	OPRS1 	Sigma non-opioid intracellular receptor 1
2096	100785	Q6P1M0	ACSVL4 	Long-chain fatty acid transport protein 4
2097	100651	P07752	ALD	Fructose-bisphosphate aldolase, glycosomal
2098	100788	Q9Y5X4	PNR 	Photoreceptor-specific nuclear receptor
2099	100789	Q96SB4	SRPK1	SRSF protein kinase 1
2100	11279	Q13255	GPRC1A 	Metabotropic glutamate receptor 1
2101	12536	P47811	Crk1 	Mitogen-activated protein kinase 14
2102	100271	P06492	Tegument protein VP16	Tegument protein VP16
2103	100277	P02879	Ricin	Ricin
2104	100278	P24226	HDH	Histidinol dehydrogenase, chloroplastic
2105	104207	Q9QNF7	UL23	Thymidine kinase
2106	104206	Q8CA95	Pde10a	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A
2107	12538	P23919	CDC8 	Thymidylate kinase
2108	104318	P62344	CDPK1	Calcium-dependent protein kinase 1
2109	107617	Q9Y6W6	MKP5	Dual specificity protein phosphatase 10
2110	107616	Q9HX69	rocR	RocR
2111	104377	P20291	Flap	Arachidonate 5-lipoxygenase-activating protein
2112	12659	Q13258	PTGDR	Prostaglandin D2 receptor
2113	102949	Q5FVR2	Ecgf1	Thymidine phosphorylase
2114	101253	P43219	Gipr	Gastric inhibitory polypeptide receptor
2115	101252	P43117	Ptgfr	Prostaglandin F2-alpha receptor
2116	100098	P30291	WEE1	Wee1-like protein kinase
2117	101250	P17301	CD49B	Integrin alpha-2
2118	100097	Q06187	AGMX1 	Tyrosine-protein kinase BTK
2119	12651	P04054	PLA2 	Phospholipase A2
2120	103951	Q9NAW2	Falcipain 2	Falcipain 2
2121	12657	O54735	Pde5	cGMP-specific 3',5'-cyclic phosphodiesterase
2122	104379	B6F061	MCHR1	Melanin-concentrating hormone receptor 1
2123	12654	P22734	Comt	Catechol O-methyltransferase
2124	10879	P09216	Pkce	Protein kinase C epsilon type
2125	10878	Q02156	PKCE	Protein kinase C epsilon type
2126	100878	Q99873	HMT2 	Protein arginine N-methyltransferase 1
2127	19669	Q53707	mecA	MecA PBP2' (penicillin binding protein 2')
2128	100309	P32584	STE14	Protein-S-isoprenylcysteine O-methyltransferase
2129	10871	Q96G91	P2RY11	P2Y purinoceptor 11
2130	19666	P90518	GSP	Glutathionylspermidine synthase
2131	100304	P10415	BCL2	Apoptosis regulator Bcl-2
2132	100877	Q8WTS6	KIAA1717 	Histone-lysine N-methyltransferase SETD7
2133	100870	P51576	P2rx1	P2X purinoceptor 1
2134	100303	P09252	DNA polymerase catalytic subunit	DNA polymerase catalytic subunit
2135	100872	Q8VH26	GPM3	Muscarinic acetylcholine receptor
2136	100873	Q9JLY8	None	C-C motif chemokine receptor 1
2137	104555	P70453	Pde7a	High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A
2138	19684	P02710	CHRNA1	Acetylcholine receptor subunit alpha
2139	100895	P63086	Erk2 	Mitogen-activated protein kinase 1
2140	19683	E1BN64	PDE3B	Phosphodiesterase
2141	109544	Q9WUT3	Mapkapk1c 	Ribosomal protein S6 kinase alpha-2
2142	19689	Q9UBY5	EDG7 	Lysophosphatidic acid receptor 3
2143	101433	P57059	SIK 	Serine/threonine-protein kinase SIK1
2144	101431	P56726	Smoh	Smoothened homolog
2145	104150	O19175	CSNK1A1	Casein kinase I isoform alpha
2146	101437	P9WMN1	hisG	ATP phosphoribosyltransferase
2147	104156	Q704Y3	Trpv1	Transient receptor potential cation channel subfamily V member 1
2148	104154	Q9BJF5	CDPK1	Calmodulin-domain protein kinase 1
2149	11694	P17655	CANPL2	Calpain-2 catalytic subunit
2150	11695	P20273	SIGLEC2	B-cell receptor CD22
2151	11692	P00736	C1R	Complement C1r subcomponent
2152	11690	P15313	ATP6B1 	V-type proton ATPase subunit B, kidney isoform
2153	11691	P51451	BLK	Tyrosine-protein kinase Blk
2154	10904	P04049	RAF	RAF proto-oncogene serine/threonine-protein kinase
2155	10907	P53350	PLK	Serine/threonine-protein kinase PLK1
2156	10906	P43405	SYK	Tyrosine-protein kinase SYK
2157	10901	P41743	DXS1179E	Protein kinase C iota type
2158	10900	Q9NRA0	SPHK2	Sphingosine kinase 2
2159	10903	Q15139	PKD 	Serine/threonine-protein kinase D1
2160	109543	P24855	DNL1 	Deoxyribonuclease-1
2161	11450	P38571	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase
2162	10908	P06868	PLG	Plasminogen
2163	11452	P55157	MTP	Microsomal triglyceride transfer protein large subunit
2164	11453	P12955	PRD	Xaa-Pro dipeptidase
2165	10659	P54646	AMPK 	5'-AMP-activated protein kinase catalytic subunit alpha-2
2166	10308	Q02644	Grfr	Growth hormone-releasing hormone receptor
2167	10307	P10634	Cyp2d-26 	Cytochrome P450 2D26
2168	10654	Q28838	ADRA2A	Alpha-2A adrenergic receptor
2169	10657	P49892	ADORA1	Adenosine receptor A1
2170	10656	P05067	A4 	Amyloid beta A4 protein
2171	10651	P18130	ADRA1C	Alpha-1A adrenergic receptor
2172	10653	P25116	CF2R 	Proteinase-activated receptor 1
2173	10300	P22605	Nr1b2	Retinoic acid receptor beta
2174	17128	Q7YY76	Histone deacetylase	Histone deacetylase
2175	109474	P20083	nfxD	DNA topoisomerase 4 subunit B
2176	17123	Q6IE76	fdft1	FDFT1 protein
2177	17120	Q63931	CCKAR	Cholecystokinin receptor type A
2178	17121	Q64077	TACR2	Substance-K receptor
2179	17124	Q6UB75	Group VII phospholipase A2	Group VII phospholipase A2
2180	17125	Q6W9J1	bla 	Beta-lactamase
2181	101446	Q9BZ11	C20orf153	Disintegrin and metalloproteinase domain-containing protein 33
2182	102829	P35329	Lyb-8 	B-cell receptor CD22
2183	104127	P0C1R8	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase
2184	102824	P70343	Casp11 	Caspase-4
2185	102826	P55097	Ctsk	Cathepsin K
2186	104124	Q9R0W2	Oct2	Solute carrier family 22 member 2
2187	102822	O70126	Aik2 	Aurora kinase B
2188	182	P01589	IL2RA	Interleukin-2 receptor subunit alpha
2189	180	P62937	CYPA	Peptidyl-prolyl cis-trans isomerase A
2190	104125	O88446	Oct3	Solute carrier family 22 member 3
2191	187	P15692	VEGF	Vascular endothelial growth factor A
2192	184	Q04609	FOLH 	Glutamate carboxypeptidase 2
2193	185	P01375	TNFA 	Tumor necrosis factor
2194	104650	P53987	Mct1	Monocarboxylate transporter 1
2195	188	P04626	HER2 	Receptor tyrosine-protein kinase erbB-2
2196	101324	O43318	TAK1	Mitogen-activated protein kinase kinase kinase 7
2197	101323	O35949	Cig30	Elongation of very long chain fatty acids protein 3
2198	101322	O35678	Mgll	Monoglyceride lipase
2199	11626	P50750	CDC2L4 	Cyclin-dependent kinase 9
2200	20127	P80365	HSD11K 	Corticosteroid 11-beta-dehydrogenase isozyme 2
2201	20120	P68849	pheS	Phenylalanine--tRNA ligase alpha subunit
2202	20122	P70263	Ptgdr	Prostaglandin D2 receptor
2203	20123	P70597	Ptger1	Prostaglandin E2 receptor EP1 subtype
2204	105440	Q15910	KMT6	Histone-lysine N-methyltransferase EZH2
2205	104121	Q9UHJ3	RU1	Scm-like with four MBT domains protein 1
2206	20128	P90584	Pfmrk	MO15-related protein kinase Pfmrk
2207	100601	P84058	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
2208	17056	P15381	CACH2 	Voltage-dependent L-type calcium channel subunit alpha-1C
2209	17054	P12337	Liver carboxylesterase 1	Liver carboxylesterase 1
2210	17052	P10608	Adrb2r	Beta-2 adrenergic receptor
2211	102792	P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1
2212	102791	P45974	ISOT	Ubiquitin carboxyl-terminal hydrolase 5
2213	10013	P00592	PLA2G1B	Phospholipase A2, major isoenzyme
2214	10012	Q15077	P2RY6	P2Y purinoceptor 6
2215	10011	O70344	KVLQT1	Potassium voltage-gated channel subfamily KQT member 1
2216	10010	P49653	P2rx2	P2X purinoceptor 2
2217	10016	Q9NP56	PDE7B	cAMP-specific 3',5'-cyclic phosphodiesterase 7B
2218	17058	P16116	AKR1B1	Aldose reductase
2219	10014	P21556	PTAFR	Platelet-activating factor receptor
2220	101151	A4ZYU9	blaACC-4	Beta-lactamase
2221	12131	P08424	Ren	Renin
2222	12136	P00697	Lyz	Lysozyme C-1
2223	100604	P9WQD9	kasA	3-oxoacyl-[acyl-carrier-protein] synthase 1
2224	105204	Q05923	PAC1	Dual specificity protein phosphatase 2
2225	105205	F6X9D9	GCGR	Uncharacterized protein
2226	10498	P07711	CTSL1	Cathepsin L1
2227	10496	O35186	Ctsk	Cathepsin K
2228	10495	P43235	CTSO 	Cathepsin K
2229	10494	P08311	CTSG	Cathepsin G
2230	12345	P00517	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha
2231	12347	P15150	CYP11B1	Cytochrome P450 11B1, mitochondrial
2232	10277	Q13188	KRS1 	Serine/threonine-protein kinase 3
2233	10276	Q9Y478	AMPK	5'-AMP-activated protein kinase subunit beta-1
2234	10275	P49654	P2rx3	P2X purinoceptor 3
2235	10274	P30969	Gnrhr	Gonadotropin-releasing hormone receptor
2236	10273	P29089	Agtr1 	Type-1B angiotensin II receptor
2237	105524	Q9FG87	KCS19	3-ketoacyl-CoA synthase 20
2238	11130	P00352	ALDC 	Retinal dehydrogenase 1
2239	10279	O95050	INMT	Indolethylamine N-methyltransferase
2240	10278	Q04760	GLO1	Lactoylglutathione lyase
2241	10475	P25929	NPYR 	Neuropeptide Y receptor type 1
2242	20011	Q931S2	parC	DNA topoisomerase 4 subunit A
2243	10477	P49146	NPY2R	Neuropeptide Y receptor type 2
2244	20013	Q9LGC6	P0504H10.9	Putative alpha-glucosidase
2245	20014	O14965	AIK 	Aurora kinase A
2246	20015	O00418	EEF2K	Eukaryotic elongation factor 2 kinase
2247	10473	P61073	CXCR4	C-X-C chemokine receptor type 4
2248	10472	P32238	CCKRA	Cholecystokinin receptor type A
2249	20018	O07911	agrC	AgrC
2250	10478	P46734	MEK3 	Dual specificity mitogen-activated protein kinase kinase 3
2251	103923	Q06347	None	Reverse transcriptase
2252	100009	O95263	PDE8B	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B
2253	20088	P23711	Hmox2	Heme oxygenase 2
2254	18074	Q9EQ60	Cacna1h	Voltage-dependent T-type calcium channel subunit alpha-1H
2255	11872	P34949	PMI1	Mannose-6-phosphate isomerase
2256	11873	Q02779	MLK2 	Mitogen-activated protein kinase kinase kinase 10
2257	11870	Q16584	MLK3 	Mitogen-activated protein kinase kinase kinase 11
2258	11871	P39900	HME	Macrophage metalloelastase
2259	103042	Q9NR20	DYRK4	Dual specificity tyrosine-phosphorylation-regulated kinase 4
2260	102642	P31944	CASP14	Caspase-14
