yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5LUF3	Q5LUF3	Q5LUF3_RUEPO	unreviewed	Propionyl-CoA carboxylase, alpha subunit (EC 6.4.1.3)	pccA SPO1101	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3) (Silicibacter pomeroyi)	681
Q97RS7	Q97RS7	Q97RS7_STRPN		Deleted.			
Q1MFM4	Q1MFM4	Q1MFM4_RHIL3	unreviewed	Uncharacterized protein	RL2761	Rhizobium leguminosarum bv. viciae (strain 3841)	158
Q9PRA0	Q9PRA0	MALP_UREPA	reviewed	Membrane-associated lipoprotein	UU045	Ureaplasma parvum serovar 3 (strain ATCC 700970)	834
Q3K5N8	Q3K5N8	Q3K5N8_PSEPF	unreviewed	Uncharacterized protein	Pfl01_5179	Pseudomonas fluorescens (strain Pf0-1)	633
O58558	O58558	Y828_PYRHO	reviewed	Putative gamma-glutamylcyclotransferase PH0828 (EC 2.3.2.-)	PH0828	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	116
P9WQF9	P9WQF9	MBTN_MYCTU	reviewed	Acyl-[acyl-carrier-protein] dehydrogenase MbtN (Acyl-ACP dehydrogenase MbtN) (EC 1.3.99.-) (Mycobactin synthase protein N)	mbtN fadE14 Rv1346 MTCY02B10.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	386
Q5SJF8	Q5SJF8	AROE_THET8	reviewed	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE TTHA1050	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	263
O64527	O64527	Y1926_ARATH	reviewed	UPF0678 fatty acid-binding protein-like protein At1g79260	At1g79260 YUP8H12R.14	Arabidopsis thaliana (Mouse-ear cress)	166
F1QRB8	F1QRB8	F1QRB8_DANRE	unreviewed	Plasminogen activator inhibitor 1 (Uncharacterized protein)	serpine1	Danio rerio (Zebrafish) (Brachydanio rerio)	392
Q8PVU7	Q8PVU7	Q8PVU7_METMA	unreviewed	Transcriptional regulator, MarR family	MM_1863	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	156
A9WFT0	A9WFT0	A9WFT0_CHLAA	unreviewed	Regulatory protein TetR	Caur_2221	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	198
O26255	O26255	P152_METTH	reviewed	Protein MTH_152	MTH_152	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	186
Q830E8	Q830E8	Q830E8_ENTFA	unreviewed	DnaD domain protein	EF_2839	Enterococcus faecalis (strain ATCC 700802 / V583)	262
Q48A34	Q48A34	Q48A34_COLP3	unreviewed	Cytochrome c552	CPS_0313	Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)	100
Q6YI95	Q6YI95	Q6YI95_MESCR	unreviewed	O-methyltransferase (EC 2.1.1.104)		Mesembryanthemum crystallinum (Common ice plant) (Cryophytum crystallinum)	237
D0CFC3	D0CFC3	D0CFC3_ACIBA	unreviewed	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA F911_00274 HMPREF0010_03414	Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841	297
Q5NG89	Q5NG89	Q5NG89_FRATT	unreviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG FTT_0963c BZ14_1891	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	370
P39155	P39155	PAP_BACSU	reviewed	Protein-arginine-phosphatase (PAP) (EC 3.9.1.2) (Phosphoarginine phosphatase)	ywlE BSU36930 ipc-31d	Bacillus subtilis (strain 168)	150
I2BPL4	I2BPL4	I2BPL4_PSEFL	unreviewed	PfiT protein	pfiT PflA506_3695	Pseudomonas fluorescens A506	207
Q26456	Q26456	ALL7_DERFA	reviewed	Mite allergen Der f 7 (Allergen Der f VII) (allergen Der f 7)	DERF7	Dermatophagoides farinae (American house dust mite)	213
C8WQZ7	C8WQZ7	C8WQZ7_ALIAD	unreviewed	Xylose isomerase domain protein TIM barrel	Aaci_2157	Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / JCM 5260 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-1A) (Bacillus acidocaldarius)	280
P95028	P95028	P95028_MYCTO	unreviewed	Uncharacterized protein	MT2601	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	240
Q99003	Q99003	F17AG_ECOLX	reviewed	F17a-G fimbrial adhesin	f17aG	Escherichia coli	344
Q9X264	Q9X264	Q9X264_THEMA	unreviewed	Acid sugar phosphatase (EC 3.1.3.-)	TM_1742 Tmari_1750	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	259
A7LXU7	A7LXU7	A7LXU7_BACO1	unreviewed	Uncharacterized protein	BACOVA_02663	Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153)	224
P40802	P40802	PKSI_BACSU	reviewed	Putative polyketide biosynthesis enoyl-CoA isomerase PksI (EC 4.-.-.-)	pksI BSU17170	Bacillus subtilis (strain 168)	249
Q72X44	Q72X44	META_BACC1	reviewed	Homoserine O-succinyltransferase (EC 2.3.1.46) (Homoserine O-transsuccinylase) (HTS)	metA BCE_5534	Bacillus cereus (strain ATCC 10987 / NRS 248)	301
A0KF03	A0KF03	A0KF03_AERHH	unreviewed	Qnr	AHA_0291	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)	216
K7N5M4	K7N5M4	K7N5M4_HUMAN	unreviewed	Human nkt tcr beta chain	B2M HDCMA22P	Homo sapiens (Human)	259
O89050	O89050	MKLN1_MOUSE	reviewed	Muskelin	Mkln1	Mus musculus (Mouse)	735
B9JKX8	B9JKX8	B9JKX8_AGRRK	unreviewed	Sugar ABC transporter	Arad_9553	Agrobacterium radiobacter (strain K84 / ATCC BAA-868)	329
O10693	O10693	O10693_CPVBM	unreviewed	Polyhedrin		Bombyx mori cytoplasmic polyhedrosis virus (BmCPV)	248
B5ZAD9	B5ZAD9	B5ZAD9_HELPG	unreviewed	Conserved hypothetical secreted protein	HPG27_353	Helicobacter pylori (strain G27)	438
P02088	P02088	HBB1_MOUSE	reviewed	Hemoglobin subunit beta-1 (Beta-1-globin) (Hemoglobin beta-1 chain) (Hemoglobin beta-major chain)	Hbb-b1	Mus musculus (Mouse)	147
P53008	P53008	CWH41_YEAST	reviewed	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I) (Glucosidase I)	CWH41 GLS1 YGL027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	833
Q59738	Q59738	BFR_RHOCA	reviewed	Bacterioferritin (BFR) (EC 1.16.3.1)	bfr	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	161
Q5SIJ1	Q5SIJ1	HICDH_THET8	reviewed	Homoisocitrate dehydrogenase (HICDH) (EC 1.1.1.87)	hicd hdh TTHA1378	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	334
P10782	P10782	HBB_PHACA	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain)	HBB	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	146
Q8KA85	Q8KA85	MNMG_CHLTE	reviewed	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA CT2283	Chlorobium tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS)	621
P44209	P44209	Y1480_HAEIN	reviewed	Uncharacterized protein HI_1480	HI_1480	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	156
M4Q2P0	M4Q2P0	M4Q2P0_LIBAS		Deleted.			
C1I208	C1I208	C1I208_PSEWB	unreviewed	Putative gamma-hydroxymuconic semialdehyde dehydrogenase	pnpE	Pseudomonas sp. (strain WBC-3)	487
Q9LCV0	Q9LCV0	Q9LCV0_PARDE	unreviewed	SoxX protein	soxX	Paracoccus denitrificans	157
Q68RJ8	Q68RJ8	Q68RJ8_LEIMA	unreviewed	Trypanothione-dependent glyoxalase I (EC 4.4.1.-)	GLO1 LMJF_35_3010	Leishmania major	141
Q81JR6	Q81JR6	Q81JR6_BACAN	unreviewed	Putative lipoprotein	GBAA_5634	Bacillus anthracis	196
P04382	P04382	DYR_BPT4	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	frd	Enterobacteria phage T4 (Bacteriophage T4)	193
Q6U6J0	Q6U6J0	HYEP_BOMMO	reviewed	Juvenile hormone epoxide hydrolase (bommo-JHEH) (EC 3.3.2.9)	JHEH	Bombyx mori (Silk moth)	461
Q5M4H8	Q5M4H8	Q5M4H8_STRT2	unreviewed	Di-or tripeptide:H+ symporter	dtpT stu0970	Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311)	483
Q93PQ0	Q93PQ0	Q93PQ0_9ENTR	unreviewed	Beta-lactamase (EC 3.5.2.6)		Citrobacter sedlakii	295
Q7MZL9	Q7MZL9	Q7MZL9_PHOLL	unreviewed	Uncharacterized protein	plu4264	Photorhabdus luminescens subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)	122
Q8I6L9	Q8I6L9	Q8I6L9_TRYCR	unreviewed	Prostaglandin F2a synthase	TcPGFS	Trypanosoma cruzi	379
P62825	P62825	RAN_CANLF	reviewed	GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN	Canis lupus familiaris (Dog) (Canis familiaris)	216
D2Z0P3	D2Z0P3	D2Z0P3_THETI	unreviewed	Photosynthetic reaction center L subunit	pufL	Thermochromatium tepidum (Chromatium tepidum)	281
Q9WXM9	Q9WXM9	Y021_THEMA	reviewed	UPF0166 protein TM_0021	TM_0021	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	102
Q8A8B0	Q8A8B0	Q8A8B0_BACTN	unreviewed	Helicase-like protein	BT_1257	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	155
O54180	O54180	O54180_STRCO	unreviewed	Putative transcriptional regulator	SCO5951	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	203
Q12154	Q12154	GET3_YEAST	reviewed	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)	GET3 ARR4 YDL100C D2371	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	354
P68460	P68460	GLRX2_VACCW	reviewed	Glutaredoxin-2	VACWR081 G4L	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	124
Q81007	Q81007	Q81007_9PAPI	unreviewed	Major capsid protein L1 (Fragment)	L1	Human papillomavirus	494
Q9X2H6	Q9X2H6	RIMO_THEMA	reviewed	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	rimO TM_1862	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	430
P22106	P22106	ASNB_ECOLI	reviewed	Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4)	asnB b0674 JW0660	Escherichia coli (strain K12)	554
D0VWY3	D0VWY3	D0VWY3_9ACTN	unreviewed	Polyketide oxygenase CabE (EC 1.14.13.-)	cabe	Streptomyces	474
Q71RI9	Q71RI9	KAT3_MOUSE	reviewed	Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III)	Kyat3 Ccbl2 Kat3	Mus musculus (Mouse)	455
Q5SJI0	Q5SJI0	Q5SJI0_THET8	unreviewed	Sulfurtransferase	TTHA1028	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	285
A5F1B7	A5F1B7	A5F1B7_VIBC3		Deleted.			
P14191	P14191	FAEG3_ECOLX	reviewed	K88 fimbrial protein AD (K88 antigen) (K88 pilin)	faeG	Escherichia coli	285
J7MFR5	J7MFR5	J7MFR5_9INFA	unreviewed	Hemagglutinin	HA	Influenza A virus (A/Tottori/YK012/2011(H1N1))	566
Q72NS0	Q72NS0	Q72NS0_LEPIC	unreviewed	Cytoplasmic membrane protein	LIC_12759	Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130)	423
Q9A395	Q9A395	Q9A395_CAUCR	unreviewed	Uncharacterized protein	CC_3309	Caulobacter crescentus (strain ATCC 19089 / CB15)	157
Q58K79	Q58K79	Q58K79_PIG	unreviewed	Na+/K+ ATPase gamma subunit transcript variant a	FXYD2	Sus scrofa (Pig)	65
Q7CKD7	Q7CKD7	Q7CKD7_YERPE	unreviewed	2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (7, 8-dihydro-6-hydroxymethylpterin-pyrophosphokinase)	folK y0787 YP_0285 YPO3400	Yersinia pestis	159
Q00433	Q00433	PHE3_RHDS2	reviewed	Phycoerythrin alpha-3 chain, chloroplastic	cpeA3	Rhodomonas sp. (strain CS 24) (Chroomonas sp. (strain CS24))	128
Q46P95	Q46P95	Q46P95_CUPPJ	unreviewed	Ethyl tert-butyl ether degradation EthD	Reut_B5694	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Ralstonia eutropha (strain JMP 134))	108
Q8QT89	Q8QT89	Q8QT89_9INFA	unreviewed	Hemagglutinin	HA	Influenza A virus (A/Swine/Indiana/P12439/00 (H1N2))	566
D5MAL3	D5MAL3	D5MAL3_PEA	unreviewed	Photosystem I reaction center subunit IX (PSI-J)	psaJ	Pisum sativum (Garden pea)	42
P31129	P31129	YDEH_ECOLI	reviewed	Diguanylate cyclase YdeH (DGC) (EC 2.7.7.65)	ydeH ydeG b1535 JW1528	Escherichia coli (strain K12)	296
Q5LDX8	Q5LDX8	Q5LDX8_BACFN	unreviewed	Uncharacterized protein	BF9343_1896	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343)	425
P39610	P39610	PDXK_BACSU	reviewed	Pyridoxine kinase (EC 2.7.1.35) (PN/PL/PM kinase) (Pyridoxal kinase) (Pyridoxamine kinase) (Vitamin B6 kinase)	pdxK ywdB BSU38020 ipa-52r	Bacillus subtilis (strain 168)	271
D3VMM1	D3VMM1	D3VMM1_BACAM	unreviewed	PtnL protein	ptnL	Bacillus amyloliquefaciens (Bacillus velezensis)	270
Q9PM80	Q9PM80	RPOA_CAMJE	reviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA Cj1595	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	337
Q9DS05	Q9DS05	Q9DS05_9PICO	unreviewed	Polyprotein (Fragment)		Foot-and-mouth disease virus - type Asia 1	71
P45563	P45563	XAPA_ECOLI	reviewed	Purine nucleoside phosphorylase 2 (EC 2.4.2.1) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase II) (PNP II) (Xanthosine phosphorylase)	xapA pndA b2407 JW2398	Escherichia coli (strain K12)	277
Q7LHI2	Q7LHI2	Q7LHI2_PHACH	unreviewed	Glucanase (EC 3.2.1.-)	CBHI.2	Phanerochaete chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	540
Q9IK91	Q9IK91	PHOSP_NIPAV	reviewed	Phosphoprotein (Protein P)	P/V/C	Nipah virus	709
P81402	P81402	NLTP1_PRUPE	reviewed	Non-specific lipid-transfer protein 1 (LTP 1) (Allergen Pru p 1) (Major allergen Pru p 3) (allergen Pru p 3)		Prunus persica (Peach) (Amygdalus persica)	91
Q8YHT7	Q8YHT7	Q8YHT7_BRUME	unreviewed	4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.14.9)	BMEI0709	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	173
Q8Y850	Q8Y850	Q8Y850_LISMO	unreviewed	Lmo1068 protein	lmo1068	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	286
Q12178	Q12178	FCY1_YEAST	reviewed	Cytosine deaminase (EC 3.5.4.1) (Cytosine aminohydrolase)	FCY1 YPR062W YP9499.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	158
Q9R429	Q9R429	Q9R429_MORMO	unreviewed	Beta-lactamase (EC 3.5.2.6)		Morganella morganii (Proteus morganii)	286
O27711	O27711	O27711_METTH	unreviewed	Conserved protein	MTH_1675	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	186
O66608	O66608	PURK_AQUAE	reviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK aq_245	Aquifex aeolicus (strain VF5)	365
Q3SKI5	Q3SKI5	Q3SKI5_THIDA	unreviewed	Homoserine dehydrogenase (EC 1.1.1.3)	Tbd_0843	Thiobacillus denitrificans (strain ATCC 25259)	437
Q7NTU7	Q7NTU7	Q7NTU7_CHRVO	unreviewed	Transcriptional regulator GntR	gntR CV_2956	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	339
A0QXP8	A0QXP8	A0QXP8_MYCS2	unreviewed	Pyridoxamine 5'-phosphate oxidase-related FMN-binding protein (Pyridoxamine 5'-phosphate oxidase-related, FMN-binding)	MSMEG_3380 MSMEI_3300	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	129
P06701	P06701	SIR3_YEAST	reviewed	Regulatory protein SIR3 (Silent information regulator 3)	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	978
Q12567	Q12567	PEPA_ASPPH	reviewed	Aspartic protease pep1 (EC 3.4.23.18) (Aspergillopepsin A) (Aspergillopepsin I) (Protease type XIII)	pep1 pepA	Aspergillus phoenicis (Aspergillus saitoi)	394
Q9GJ77	Q9GJ77	Q9GJ77_MACMU	unreviewed	Major histocompatibility complex class I (Fragment)	MHCI-B	Macaca mulatta (Rhesus macaque)	361
Q2GKM8	Q2GKM8	Q2GKM8_ANAPZ	unreviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	fabI APH_0473	Anaplasma phagocytophilum (strain HZ)	275
O34002	O34002	PRPC_ABDS2	reviewed	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)	gltA cisY	Antarctic bacterium DS2-3R	379
O67056	O67056	O67056_AQUAE	unreviewed	DNA replication protein DnaC	dnaC aq_910	Aquifex aeolicus (strain VF5)	235
Q8ZUP0	Q8ZUP0	Q8ZUP0_PYRAE	unreviewed	Alcohol dehydrogenase (Zinc)	PAE2687	Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	331
Q8DQ00	Q8DQ00	Q8DQ00_STRR6	unreviewed	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd spr0918	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	358
Q3ACS2	Q3ACS2	Q3ACS2_CARHZ	unreviewed	Iron-sulfur cluster binding protein	CHY_1224	Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901)	631
Q8ZRI7	Q8ZRI7	Q8ZRI7_SALTY	unreviewed	Putative hydrolase or acyltransferase	STM0332	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	304
P05656	P05656	SACC_BACSU	reviewed	Levanase (EC 3.2.1.80) (Beta-D-fructofuranosidase) (Exo-beta-D-fructosidase) (Exo-levanase)	sacC BSU27030	Bacillus subtilis (strain 168)	677
Q9GL10	Q9GL10	ACRO_SHEEP	reviewed	Acrosin (EC 3.4.21.10) [Cleaved into: Acrosin light chain; Acrosin heavy chain] (Fragment)	ACR	Ovis aries (Sheep)	329
Q59452	Q59452	SODC_HAEDU	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC HD_0848	Haemophilus ducreyi (strain 35000HP / ATCC 700724)	199
P09060	P09060	ODBA_PSEPU	reviewed	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDH E1-alpha)	bkdA1	Pseudomonas putida (Arthrobacter siderocapsulatus)	410
Q922X9	Q922X9	ANM7_MOUSE	reviewed	Protein arginine N-methyltransferase 7 (EC 2.1.1.321) (Histone-arginine N-methyltransferase PRMT7) ([Myelin basic protein]-arginine N-methyltransferase PRMT7)	Prmt7 Kiaa1933	Mus musculus (Mouse)	692
Q5E4K9	Q5E4K9	Q5E4K9_VIBF1	unreviewed	Acetyltransferase (EC 2.3.1.-)	VF_1542	Vibrio fischeri (strain ATCC 700601 / ES114)	158
Q8NJY3	Q8NJY3	Q8NJY3_9PEZI	unreviewed	Endoglucanase	cel12A	Humicola grisea	254
A1U6M1	A1U6M1	A1U6M1_MARHV	unreviewed	Transcriptional regulator, TetR family	Maqu_3571	Marinobacter hydrocarbonoclasticus (strain ATCC 700491 / DSM 11845 / VT8)	227
Q9KD90	Q9KD90	Q9KD90_BACHD	unreviewed	BH1327 protein	BH1327	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	187
P38636	P38636	ATX1_YEAST	reviewed	Metal homeostasis factor ATX1	ATX1 YNL259C N0840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	73
P17210	P17210	KINH_DROME	reviewed	Kinesin heavy chain	Khc kin CG7765	Drosophila melanogaster (Fruit fly)	975
Q9HWY4	Q9HWY4	Q9HWY4_PSEAE	unreviewed	Geranyltranstransferase	ispA PA4043	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	295
Q5BJK3	Q5BJK3	Q5BJK3_DANRE	unreviewed	Zgc:110177 (Zgc:110177 protein)	napga napgl zgc:110177	Danio rerio (Zebrafish) (Brachydanio rerio)	305
Q5SL81	Q5SL81	Q5SL81_THET8	unreviewed	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	TTHA0412	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	376
D0IR47	D0IR47	D0IR47_HELP1	unreviewed	Fructose-bisphosphate aldolase	fba KHP_0173	Helicobacter pylori (strain 51)	307
Q82Y41	Q82Y41	Q82Y41_NITEU	unreviewed	Cytidine and deoxycytidylate deaminase zinc-binding region	NE0047	Nitrosomonas europaea (strain ATCC 19718 / NBRC 14298)	193
P31133	P31133	POTF_ECOLI	reviewed	Putrescine-binding periplasmic protein	potF b0854 JW0838	Escherichia coli (strain K12)	370
Q8P4M6	Q8P4M6	Q8P4M6_XANCP	unreviewed	Uncharacterized protein	XCC3681	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	171
A8YBS4	A8YBS4	A8YBS4_MICAE	unreviewed	Cysteine synthase (EC 2.5.1.47)	cysK IPF_2058	Microcystis aeruginosa PCC 7806	319
A5VPS6	A5VPS6	A5VPS6_BRUO2		Deleted.			
Q9RTQ1	Q9RTQ1	Q9RTQ1_DEIRA	unreviewed	Hydrolase (Hydrolase family protein)	DR_1705 A2G07_05070	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	199
G0S8G9	G0S8G9	IF2P_CHATD	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	CTHT_0029840	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719)	1116
P02915	P02915	HISP_SALTY	reviewed	Histidine transport ATP-binding protein HisP	hisP STM2351	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	258
Q9JLT4	Q9JLT4	TRXR2_MOUSE	reviewed	Thioredoxin reductase 2, mitochondrial (EC 1.8.1.9) (Thioredoxin reductase TR3)	Txnrd2 Trxr2	Mus musculus (Mouse)	524
Q11TQ6	Q11TQ6	Q11TQ6_CYTH3	unreviewed	Cyclic nucleotide binding regulatory protein	CHU_1942	Cytophaga hutchinsonii (strain ATCC 33406 / NCIMB 9469)	191
O28407	O28407	O28407_ARCFU	unreviewed	Uncharacterized protein	AF_1872	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	266
O58235	O58235	O58235_PYRHO	unreviewed	Uncharacterized protein	PH0499	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	272
Q8W4D8	Q8W4D8	DDL_ARATH	reviewed	FHA domain-containing protein DDL (Protein DAWDLE)	DDL At3g20550 K10D20.9	Arabidopsis thaliana (Mouse-ear cress)	314
Q09JX9	Q09JX9	Q09JX9_ARGMO	unreviewed	Monomine		Argas monolakensis (Mono lake bird tick)	163
O66874	O66874	PBPA_AQUAE	reviewed	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.2.-) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.-.-) (DD-transpeptidase)]	mrcA ponA aq_624	Aquifex aeolicus (strain VF5)	726
D1BWR1	D1BWR1	D1BWR1_XYLCX	unreviewed	ErfK/YbiS/YcfS/YnhG family protein	Xcel_0604	Xylanimonas cellulosilytica (strain DSM 15894 / CECT 5975 / LMG 20990 / XIL07)	326
K2KM35	K2KM35	K2KM35_HELPX	unreviewed	LPP20 lipofamily protein	OUO_1490	Helicobacter pylori R046Wa	303
Q9KT04	Q9KT04	Q9KT04_VIBCH	unreviewed	Uncharacterized protein	VC_1101	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	321
Q9HZQ0	Q9HZQ0	Q9HZQ0_PSEAE	unreviewed	Uncharacterized protein	PA2947	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	142
O28011	O28011	O28011_ARCFU	unreviewed	3-hydroxyacyl-CoA dehydrogenase (Hbd-10)	AF_2273	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	668
